respondent_id,submitted_at,consent,region,residence_zone,age_group,gender,race_color,income_group,education,consumption_frequency,consumer_profile,consumer_profile_raw,wine_types_raw,purchase_channels_raw,purchase_factors_raw,sustainable_attributes_raw,label_importance
149,2026-05-13 15:40:37.236,"Sim, aceito participar",Região Sul,Zona urbana,Entre 18 e 25 anos,Feminino,Branca,Menos de 1 salário mínimo,Ensino superior completo,De 4 a 6 vezes por semana,Apreciador técnico,"Apreciador, com conhecimentos técnicos","Vinho tinto seco, Vinho branco seco, Vinho rosé, Vinho espumante, Vinho demi-sec","Lojas físicas especializadas, Diretamente em vinícolas","Preço, Região de origem, Vinícola / Produtor, Descrição sensorial (aroma, sabor estilo), Promoções ou descontos, Curiosidade ou interesse por novos produtos","Qualidade sensorial (sabor, aroma, equilíbrio), Origem das uvas (região/procedência), Clareza e transparência das informações no rótulo, Presença de certificações ou selos ambientais",Muito importante
150,2026-05-13 15:47:49.959,"Sim, aceito participar",Região Sul,Zona urbana,Entre 36 e 45 anos,Feminino,Branca,De 3 a 4 salários mínimos,Pós-graduação completa,1 vez por semana,Apreciador interessado,"Apreciador, com interesse pelo tema","Vinho tinto seco, Vinho branco seco, Vinho rosé, Vinho espumante, Vinho demi-sec","Supermercados, Lojas não especializadas no Paraguai, como Shopping China e Mapy, onde consigo comprar rótulos melhores com menor valor, e também com maior variedade.","Preço, Região de origem, Variedade, Descrição sensorial (aroma, sabor estilo), Promoções ou descontos, Curiosidade ou interesse por novos produtos","Qualidade sensorial (sabor, aroma, equilíbrio), Sustentabilidade ambiental (menor impacto no cultivo), Origem das uvas (região/procedência), Presença de certificações ou selos ambientais",Moderadamente importante
151,2026-05-13 16:05:31.792,"Sim, aceito participar",Região Sudeste,Zona rural,Acima de 55 anos,Feminino,Branca,De 5 a 6 salários mínimos,Pós-graduação completa,1 vez por mês,Consumidor ocasional,"Consumidor ocasional, sem conhecimento técnico","Vinho tinto seco, Vinho espumante, Vinho demi-sec",Supermercados,"Região de origem, Recomendação (amigos, especialistas, avaliações), Descrição sensorial (aroma, sabor estilo), Promoções ou descontos","Qualidade sensorial (sabor, aroma, equilíbrio), Presença de certificações ou selos ambientais, Preço",Muito importante
152,2026-05-13 16:15:43.732,"Sim, aceito participar",Região Sul,Zona urbana,Entre 26 e 35 anos,Feminino,Branca,De 3 a 4 salários mínimos,Pós-graduação completa,1 vez a cada 15 dias,Consumidor ocasional,"Consumidor ocasional, sem conhecimento técnico","Vinho tinto seco, Vinho branco seco, Vinho rosé, Vinho espumante",Supermercados,"Recomendação (amigos, especialistas, avaliações), Descrição sensorial (aroma, sabor estilo), Design e informação do rótulo, Práticas sustentáveis e/ou impacto ambiental, Promoções ou descontos","Qualidade sensorial (sabor, aroma, equilíbrio), Sustentabilidade ambiental (menor impacto no cultivo), Origem das uvas (região/procedência), Clareza e transparência das informações no rótulo, Presença de certificações ou selos ambientais, Preço",Muito importante
153,2026-05-13 16:25:50.192,"Sim, aceito participar",Região Sul,Zona urbana,Entre 26 e 35 anos,Masculino,Branca,De 3 a 4 salários mínimos,Pós-graduação completa,De 2 a 3 vezes por semana,Apreciador técnico,"Apreciador, com conhecimentos técnicos","Vinho tinto seco, Vinho branco seco, Vinho rosé, Vinho espumante, Vinho licoroso e/ou fortificado","Supermercados, Diretamente em vinícolas","Preço, Região de origem, Variedade, Vinícola / Produtor, Curiosidade ou interesse por novos produtos","Qualidade sensorial (sabor, aroma, equilíbrio), Sustentabilidade ambiental (menor impacto no cultivo), Origem das uvas (região/procedência), Clareza e transparência das informações no rótulo, Presença de certificações ou selos ambientais",Muito importante
154,2026-05-13 16:38:40.901,"Sim, aceito participar",Região Sul,Zona urbana,Entre 26 e 35 anos,Feminino,Branca,De 5 a 6 salários mínimos,Pós-graduação completa,1 vez por semana,Apreciador interessado,"Apreciador, com interesse pelo tema","Vinho tinto seco, Vinho rosé, Vinho espumante","Supermercados, Diretamente em vinícolas, Restaurantes e bares","Descrição sensorial (aroma, sabor estilo)","Qualidade sensorial (sabor, aroma, equilíbrio), Origem das uvas (região/procedência), Clareza e transparência das informações no rótulo, Presença de certificações ou selos ambientais",Extremamente importante
155,2026-05-13 17:17:05.638,"Sim, aceito participar",Região Sul,Zona urbana,Acima de 55 anos,Feminino,Branca,De 3 a 4 salários mínimos,Ensino superior incompleto,Diariamente,Apreciador interessado,"Apreciador, com interesse pelo tema","Vinho branco seco, Vinho suave","Supermercados, Restaurantes e bares","Preço, Região de origem, Vinícola / Produtor, Curiosidade ou interesse por novos produtos","Qualidade sensorial (sabor, aroma, equilíbrio), Origem das uvas (região/procedência), Preço",Muito importante
156,2026-05-13 17:17:25.684,"Sim, aceito participar",Região Sul,Zona urbana,Acima de 55 anos,Feminino,Branca,De 3 a 4 salários mínimos,Ensino superior incompleto,Diariamente,Apreciador interessado,"Apreciador, com interesse pelo tema","Vinho branco seco, Vinho suave","Supermercados, Restaurantes e bares","Preço, Região de origem, Vinícola / Produtor, Curiosidade ou interesse por novos produtos","Qualidade sensorial (sabor, aroma, equilíbrio), Origem das uvas (região/procedência), Preço",Muito importante
157,2026-05-13 18:04:39.668,"Sim, aceito participar",Região Sul,Zona urbana,Acima de 55 anos,Feminino,Branca,Acima de 6 salários mínimos,Pós-graduação completa,1 vez a cada 15 dias,Consumidor ocasional,"Consumidor ocasional, sem conhecimento técnico","Vinho tinto seco, Vinho branco seco","Supermercados, Lojas físicas especializadas","Região de origem, Variedade, Promoções ou descontos","Qualidade sensorial (sabor, aroma, equilíbrio), Sustentabilidade ambiental (menor impacto no cultivo), Origem das uvas (região/procedência), Presença de certificações ou selos ambientais, Preço",Muito importante
158,2026-05-13 20:27:02.667,"Sim, aceito participar",Região Nordeste,Zona urbana,Entre 36 e 45 anos,Feminino,Parda,Menos de 1 salário mínimo,Pós-graduação incompleta,Raramente,Consumidor ocasional,"Consumidor ocasional, sem conhecimento técnico","Vinho tinto seco, Vinho suave",Supermercados,"Região de origem, Recomendação (amigos, especialistas, avaliações), Descrição sensorial (aroma, sabor estilo)","Qualidade sensorial (sabor, aroma, equilíbrio), Origem das uvas (região/procedência)",Muito importante
159,2026-05-13 20:27:42.190,"Sim, aceito participar",Região Sul,Zona urbana,Entre 26 e 35 anos,Feminino,Branca,De 3 a 4 salários mínimos,Ensino superior completo,1 vez a cada 15 dias,Apreciador interessado,"Apreciador, com interesse pelo tema","Vinho tinto seco, Vinho branco seco, Vinho rosé, Vinho espumante","Supermercados, Diretamente em vinícolas","Preço, Região de origem, Variedade, Descrição sensorial (aroma, sabor estilo), Design e informação do rótulo, Curiosidade ou interesse por novos produtos","Qualidade sensorial (sabor, aroma, equilíbrio), Origem das uvas (região/procedência), Clareza e transparência das informações no rótulo",Muito importante
160,2026-05-13 21:31:07.533,"Sim, aceito participar",Região Sul,Zona urbana,Entre 26 e 35 anos,Feminino,Branca,De 3 a 4 salários mínimos,Pós-graduação completa,Raramente,Consumidor ocasional,"Consumidor ocasional, sem conhecimento técnico",Vinho suave,Supermercados,"Preço, Recomendação (amigos, especialistas, avaliações)","Clareza e transparência das informações no rótulo, Presença de certificações ou selos ambientais",Extremamente importante
161,2026-05-13 21:33:13.909,"Sim, aceito participar",Região Sul,Zona urbana,Entre 36 e 45 anos,Feminino,Branca,De 5 a 6 salários mínimos,Pós-graduação incompleta,De 2 a 3 vezes por semana,Apreciador interessado,"Apreciador, com interesse pelo tema","Vinho tinto seco, Vinho branco seco, Vinho rosé","Supermercados, Lojas físicas especializadas","Preço, Variedade, Descrição sensorial (aroma, sabor estilo), Design e informação do rótulo","Qualidade sensorial (sabor, aroma, equilíbrio), Clareza e transparência das informações no rótulo",Muito importante
162,2026-05-14 08:45:56.803,"Sim, aceito participar",Região Sul,Zona urbana,Entre 46 e 55 anos,Feminino,Branca,Acima de 6 salários mínimos,Pós-graduação completa,Raramente,Consumidor ocasional,"Consumidor ocasional, sem conhecimento técnico","Vinho tinto seco, Vinho espumante",Supermercados,"Preço, Vinícola / Produtor, Recomendação (amigos, especialistas, avaliações), Descrição sensorial (aroma, sabor estilo)","Qualidade sensorial (sabor, aroma, equilíbrio), Sustentabilidade ambiental (menor impacto no cultivo), Clareza e transparência das informações no rótulo, Presença de certificações ou selos ambientais",Muito importante
163,2026-05-14 11:14:50.122,"Sim, aceito participar",Região Sudeste,Zona urbana,Entre 26 e 35 anos,Feminino,Branca,Acima de 6 salários mínimos,Pós-graduação completa,Raramente,Apreciador interessado,"Apreciador, com interesse pelo tema","Vinho espumante, Vinho suave","Supermercados, Diretamente em vinícolas","Vinícola / Produtor, Descrição sensorial (aroma, sabor estilo), Promoções ou descontos","Qualidade sensorial (sabor, aroma, equilíbrio), Sustentabilidade ambiental (menor impacto no cultivo), Clareza e transparência das informações no rótulo, Presença de certificações ou selos ambientais, Preço",Extremamente importante
164,2026-05-14 12:16:25.368,"Sim, aceito participar",Região Sul,Zona urbana,Entre 46 e 55 anos,Feminino,Branca,Acima de 6 salários mínimos,Ensino superior completo,De 2 a 3 vezes por semana,Profissional do setor,"Profissional da área de vinhos (ex.: sommelier, enólogo, atuação na indústria ou enoturismo)","Vinho tinto seco, Vinho espumante","Supermercados, Lojas físicas especializadas, Lojas online especializadas, Diretamente em vinícolas, Restaurantes e bares","Preço, Região de origem, Vinícola / Produtor","Qualidade sensorial (sabor, aroma, equilíbrio), Origem das uvas (região/procedência)",Moderadamente importante
165,2026-05-14 14:16:58.808,"Sim, aceito participar",Região Sul,Zona rural,Entre 36 e 45 anos,Feminino,Branca,Acima de 6 salários mínimos,Pós-graduação completa,Diariamente,Apreciador interessado,"Apreciador, com interesse pelo tema","Vinho tinto seco, Vinho branco seco, Vinho rosé, Vinho espumante","Supermercados, Lojas online especializadas","Preço, Variedade, Promoções ou descontos","Qualidade sensorial (sabor, aroma, equilíbrio), Preço",Extremamente importante
166,2026-05-14 14:18:16.235,"Sim, aceito participar",Região Sul,Zona urbana,Entre 36 e 45 anos,Feminino,Branca,Prefiro não responder,Pós-graduação completa,1 vez por semana,Apreciador técnico,"Apreciador, com conhecimentos técnicos","Vinho tinto seco, Vinho branco seco, Vinho rosé, Vinho espumante","Supermercados, Lojas físicas especializadas, Lojas online especializadas, Diretamente em vinícolas","Preço, Vinícola / Produtor, Recomendação (amigos, especialistas, avaliações), Descrição sensorial (aroma, sabor estilo), Práticas sustentáveis e/ou impacto ambiental, Promoções ou descontos, Curiosidade ou interesse por novos produtos","Qualidade sensorial (sabor, aroma, equilíbrio), Sustentabilidade ambiental (menor impacto no cultivo), Preço",Extremamente importante
167,2026-05-14 14:18:53.275,"Sim, aceito participar",Região Sul,Zona urbana,Entre 46 e 55 anos,Feminino,Branca,Acima de 6 salários mínimos,Pós-graduação completa,1 vez por semana,Apreciador técnico,"Apreciador, com conhecimentos técnicos",Não tenho preferência definida,"Supermercados, Lojas físicas especializadas, Lojas online especializadas, Diretamente em vinícolas, Restaurantes e bares","Preço, Região de origem, Variedade, Vinícola / Produtor, Recomendação (amigos, especialistas, avaliações), Promoções ou descontos, Curiosidade ou interesse por novos produtos","Qualidade sensorial (sabor, aroma, equilíbrio), Clareza e transparência das informações no rótulo, Preço",Extremamente importante
168,2026-05-14 14:21:15.507,"Sim, aceito participar",Região Sul,Zona urbana,Entre 46 e 55 anos,Masculino,Branca,Acima de 6 salários mínimos,Pós-graduação completa,Diariamente,Profissional do setor,"Profissional da área de vinhos (ex.: sommelier, enólogo, atuação na indústria ou enoturismo)","Vinho tinto seco, Vinho branco seco, Vinho rosé, Vinho espumante, Vinho licoroso e/ou fortificado","Supermercados, Lojas físicas especializadas, Lojas online especializadas, Diretamente em vinícolas","Preço, Variedade, Vinícola / Produtor, Recomendação (amigos, especialistas, avaliações), Promoções ou descontos, Curiosidade ou interesse por novos produtos","Qualidade sensorial (sabor, aroma, equilíbrio), Origem das uvas (região/procedência), Clareza e transparência das informações no rótulo, Preço",Muito importante
169,2026-05-14 14:22:32.666,"Sim, aceito participar",Região Sul,Zona urbana,Entre 36 e 45 anos,Feminino,Branca,De 3 a 4 salários mínimos,Pós-graduação completa,1 vez por semana,Apreciador técnico,"Apreciador, com conhecimentos técnicos","Vinho tinto seco, Vinho branco seco","Supermercados, Lojas físicas especializadas, Lojas online especializadas","Preço, Variedade, Vinícola / Produtor, Recomendação (amigos, especialistas, avaliações)","Qualidade sensorial (sabor, aroma, equilíbrio), Clareza e transparência das informações no rótulo, Preço",Muito importante
170,2026-05-14 14:24:56.386,"Sim, aceito participar",Região Sul,Zona urbana,Entre 36 e 45 anos,Masculino,Branca,Acima de 6 salários mínimos,Pós-graduação completa,1 vez por mês,Consumidor ocasional,"Consumidor ocasional, sem conhecimento técnico","Vinho tinto seco, Vinho branco seco, Vinho rosé, Vinho espumante, Vinho demi-sec","Supermercados, Lojas físicas especializadas","Preço, Recomendação (amigos, especialistas, avaliações), Design e informação do rótulo, Promoções ou descontos, Curiosidade ou interesse por novos produtos","Sustentabilidade ambiental (menor impacto no cultivo), Presença de certificações ou selos ambientais",Muito importante
171,2026-05-14 14:29:49.233,"Sim, aceito participar",Região Sudeste,Zona urbana,Entre 46 e 55 anos,Masculino,Branca,Acima de 6 salários mínimos,Pós-graduação completa,Diariamente,Profissional do setor,"Profissional da área de vinhos (ex.: sommelier, enólogo, atuação na indústria ou enoturismo)","Vinho tinto seco, Vinho branco seco, Vinho rosé, Vinho espumante, Vinho licoroso e/ou fortificado","Lojas físicas especializadas, Lojas online especializadas, Diretamente em vinícolas","Preço, Região de origem, Variedade, Vinícola / Produtor, Práticas sustentáveis e/ou impacto ambiental, Promoções ou descontos, Curiosidade ou interesse por novos produtos","Qualidade sensorial (sabor, aroma, equilíbrio), Sustentabilidade ambiental (menor impacto no cultivo), Presença de certificações ou selos ambientais, Preço, Grau de inovação do produto",Muito importante
172,2026-05-14 14:30:54.462,"Sim, aceito participar",Região Sul,Zona urbana,Entre 46 e 55 anos,Masculino,Branca,Acima de 6 salários mínimos,Pós-graduação incompleta,De 2 a 3 vezes por semana,Apreciador interessado,"Apreciador, com interesse pelo tema","Vinho tinto seco, Vinho espumante","Lojas físicas especializadas, Lojas online especializadas","Preço, Variedade, Recomendação (amigos, especialistas, avaliações), Curiosidade ou interesse por novos produtos","Qualidade sensorial (sabor, aroma, equilíbrio), Preço",Extremamente importante
173,2026-05-14 14:35:28.468,"Sim, aceito participar",Região Sul,Zona urbana,Acima de 55 anos,Masculino,Parda,Acima de 6 salários mínimos,Ensino superior completo,De 4 a 6 vezes por semana,Apreciador técnico,"Apreciador, com conhecimentos técnicos",Vinho tinto seco,Supermercados,"Preço, Região de origem, Variedade, Promoções ou descontos","Qualidade sensorial (sabor, aroma, equilíbrio), Sustentabilidade ambiental (menor impacto no cultivo), Presença de certificações ou selos ambientais, Preço",Moderadamente importante
174,2026-05-14 14:41:52.475,"Sim, aceito participar",Região Sudeste,Zona urbana,Entre 26 e 35 anos,Masculino,Branca,De 5 a 6 salários mínimos,Ensino superior completo,Raramente,Apreciador interessado,"Apreciador, com interesse pelo tema","Vinho tinto seco, Vinho espumante, Vinho demi-sec","Supermercados, Lojas online especializadas, Restaurantes e bares, Aplicativos de delivery de bebidas","Preço, Região de origem, Variedade, Vinícola / Produtor, Recomendação (amigos, especialistas, avaliações), Descrição sensorial (aroma, sabor estilo), Design e informação do rótulo, Práticas sustentáveis e/ou impacto ambiental, Promoções ou descontos, Curiosidade ou interesse por novos produtos, Estação do ano e harmonização","Qualidade sensorial (sabor, aroma, equilíbrio), Clareza e transparência das informações no rótulo, Preço",Moderadamente importante
175,2026-05-14 14:42:55.279,"Sim, aceito participar",Região Sul,Zona urbana,Entre 46 e 55 anos,Masculino,Branca,Acima de 6 salários mínimos,Pós-graduação completa,1 vez a cada 15 dias,Apreciador interessado,"Apreciador, com interesse pelo tema","Vinho branco seco, Vinho rosé, Vinho espumante","Supermercados, Lojas físicas especializadas, Diretamente em vinícolas, Restaurantes e bares","Preço, Região de origem, Variedade, Recomendação (amigos, especialistas, avaliações), Descrição sensorial (aroma, sabor estilo)","Qualidade sensorial (sabor, aroma, equilíbrio), Origem das uvas (região/procedência), Clareza e transparência das informações no rótulo, Preço",Muito importante
176,2026-05-14 14:45:40.285,"Sim, aceito participar",Região Sul,Zona urbana,Entre 36 e 45 anos,Masculino,Branca,Acima de 6 salários mínimos,Pós-graduação completa,1 vez a cada 15 dias,Apreciador interessado,"Apreciador, com interesse pelo tema","Vinho tinto seco, Vinho branco seco, Vinho rosé, Vinho espumante","Lojas físicas especializadas, Lojas online especializadas","Preço, Variedade, Recomendação (amigos, especialistas, avaliações), Promoções ou descontos, Curiosidade ou interesse por novos produtos","Qualidade sensorial (sabor, aroma, equilíbrio), Clareza e transparência das informações no rótulo, Presença de certificações ou selos ambientais, Preço",Moderadamente importante
177,2026-05-14 14:47:16.253,"Sim, aceito participar",Região Sudeste,Zona urbana,Acima de 55 anos,Masculino,Branca,Acima de 6 salários mínimos,Ensino superior completo,1 vez por semana,Apreciador técnico,"Apreciador, com conhecimentos técnicos","Vinho tinto seco, Vinho branco seco, Vinho espumante, Vinho demi-sec, Vinho licoroso e/ou fortificado","Supermercados, Lojas online especializadas, Diretamente em vinícolas","Preço, Região de origem, Variedade, Design e informação do rótulo, Promoções ou descontos, Curiosidade ou interesse por novos produtos","Qualidade sensorial (sabor, aroma, equilíbrio), Origem das uvas (região/procedência), Clareza e transparência das informações no rótulo, Preço",Extremamente importante
178,2026-05-14 14:49:26.300,"Sim, aceito participar",Região Sudeste,Zona urbana,Entre 36 e 45 anos,Feminino,Branca,Acima de 6 salários mínimos,Pós-graduação completa,1 vez por semana,Apreciador técnico,"Apreciador, com conhecimentos técnicos","Vinho tinto seco, Vinho branco seco, Vinho rosé, Vinho espumante, Vinho demi-sec","Supermercados, Restaurantes e bares","Preço, Região de origem, Variedade, Vinícola / Produtor, Recomendação (amigos, especialistas, avaliações), Descrição sensorial (aroma, sabor estilo), Curiosidade ou interesse por novos produtos","Qualidade sensorial (sabor, aroma, equilíbrio), Sustentabilidade ambiental (menor impacto no cultivo), Origem das uvas (região/procedência), Clareza e transparência das informações no rótulo, Presença de certificações ou selos ambientais, Preço",Extremamente importante
179,2026-05-14 15:03:59.832,"Sim, aceito participar",Região Nordeste,Zona urbana,Entre 46 e 55 anos,Masculino,Branca,Acima de 6 salários mínimos,Pós-graduação completa,Raramente,Apreciador interessado,"Apreciador, com interesse pelo tema","Vinho tinto seco, Vinho espumante, Vinho demi-sec, Vinho licoroso e/ou fortificado","Supermercados, Lojas físicas especializadas, Lojas online especializadas","Região de origem, Vinícola / Produtor, Curiosidade ou interesse por novos produtos","Origem das uvas (região/procedência), Clareza e transparência das informações no rótulo, Preço",Pouco importante
180,2026-05-14 15:14:19.542,"Sim, aceito participar",Região Sul,Zona urbana,Acima de 55 anos,Masculino,Branca,Acima de 6 salários mínimos,Pós-graduação completa,De 2 a 3 vezes por semana,Apreciador interessado,"Apreciador, com interesse pelo tema","Vinho tinto seco, Vinho branco seco, Vinho espumante, Vinho licoroso e/ou fortificado","Supermercados, Lojas físicas especializadas","Região de origem, Variedade, Recomendação (amigos, especialistas, avaliações), Promoções ou descontos","Qualidade sensorial (sabor, aroma, equilíbrio), Sustentabilidade ambiental (menor impacto no cultivo), Origem das uvas (região/procedência), Preço",Muito importante
181,2026-05-14 15:20:46.399,"Sim, aceito participar",Região Sul,Zona urbana,Entre 46 e 55 anos,Masculino,Branca,Acima de 6 salários mínimos,Pós-graduação completa,De 4 a 6 vezes por semana,Apreciador técnico,"Apreciador, com conhecimentos técnicos","Vinho tinto seco, Vinho branco seco, Vinho espumante","Lojas físicas especializadas, Lojas online especializadas","Região de origem, Variedade","Qualidade sensorial (sabor, aroma, equilíbrio), Origem das uvas (região/procedência)",Pouco importante
182,2026-05-14 15:21:02.213,"Sim, aceito participar",Região Sul,Zona urbana,Acima de 55 anos,Masculino,Branca,Acima de 6 salários mínimos,Pós-graduação completa,Diariamente,Apreciador técnico,"Apreciador, com conhecimentos técnicos","Vinho tinto seco, Vinho branco seco, Vinho rosé, Vinho espumante",Diretamente em vinícolas,"Preço, Região de origem, Variedade, Vinícola / Produtor, Recomendação (amigos, especialistas, avaliações)","Qualidade sensorial (sabor, aroma, equilíbrio), Origem das uvas (região/procedência), Clareza e transparência das informações no rótulo, Preço, Grau de inovação do produto",Muito importante
183,2026-05-14 15:35:29.865,"Sim, aceito participar",Região Sul,Zona urbana,Acima de 55 anos,Masculino,Branca,Acima de 6 salários mínimos,Pós-graduação completa,De 2 a 3 vezes por semana,Apreciador técnico,"Apreciador, com conhecimentos técnicos",Vinho tinto seco,"Supermercados, Lojas físicas especializadas, Lojas online especializadas","Preço, Região de origem, Variedade, Vinícola / Produtor, Curiosidade ou interesse por novos produtos","Qualidade sensorial (sabor, aroma, equilíbrio), Origem das uvas (região/procedência), Preço",Pouco importante
184,2026-05-14 15:42:39.329,"Sim, aceito participar",Região Sul,Zona urbana,Entre 46 e 55 anos,Feminino,Branca,Acima de 6 salários mínimos,Pós-graduação completa,De 4 a 6 vezes por semana,Apreciador interessado,"Apreciador, com interesse pelo tema","Vinho tinto seco, Vinho branco seco","Supermercados, Lojas físicas especializadas, Lojas online especializadas, Diretamente em vinícolas","Preço, Região de origem, Variedade, Vinícola / Produtor, Promoções ou descontos","Origem das uvas (região/procedência), Preço",Muito importante
185,2026-05-14 15:54:01.412,"Sim, aceito participar",Região Nordeste,Zona urbana,Acima de 55 anos,Masculino,Parda,Acima de 6 salários mínimos,Pós-graduação completa,De 2 a 3 vezes por semana,Apreciador interessado,"Apreciador, com interesse pelo tema","Vinho tinto seco, Vinho branco seco, Vinho rosé, Vinho espumante, Vinho demi-sec","Lojas físicas especializadas, Lojas online especializadas","Preço, Região de origem, Variedade, Vinícola / Produtor, Recomendação (amigos, especialistas, avaliações)","Sustentabilidade ambiental (menor impacto no cultivo), Clareza e transparência das informações no rótulo, Presença de certificações ou selos ambientais",Moderadamente importante
186,2026-05-14 16:22:31.980,"Sim, aceito participar",Região Sudeste,Zona urbana,Acima de 55 anos,Feminino,Branca,Prefiro não responder,Ensino superior completo,De 2 a 3 vezes por semana,Apreciador técnico,"Apreciador, com conhecimentos técnicos","Vinho tinto seco, Vinho branco seco, Vinho espumante","Supermercados, Restaurantes e bares","Preço, Região de origem, Variedade, Vinícola / Produtor, Recomendação (amigos, especialistas, avaliações), Descrição sensorial (aroma, sabor estilo), Promoções ou descontos","Qualidade sensorial (sabor, aroma, equilíbrio), Sustentabilidade ambiental (menor impacto no cultivo), Origem das uvas (região/procedência), Clareza e transparência das informações no rótulo, Presença de certificações ou selos ambientais, Preço, Grau de inovação do produto",Muito importante
187,2026-05-14 16:35:12.932,"Sim, aceito participar",Região Sul,Zona urbana,Entre 26 e 35 anos,Prefiro não informar,Branca,De 3 a 4 salários mínimos,Pós-graduação completa,1 vez por semana,Apreciador técnico,"Apreciador, com conhecimentos técnicos","Vinho tinto seco, Vinho branco seco, Vinho rosé, Vinho espumante","Supermercados, Restaurantes e bares","Preço, Região de origem, Recomendação (amigos, especialistas, avaliações), Descrição sensorial (aroma, sabor estilo), Design e informação do rótulo, Promoções ou descontos","Qualidade sensorial (sabor, aroma, equilíbrio), Sustentabilidade ambiental (menor impacto no cultivo), Origem das uvas (região/procedência), Clareza e transparência das informações no rótulo, Presença de certificações ou selos ambientais",Extremamente importante
188,2026-05-14 16:40:11.318,"Sim, aceito participar",Região Sul,Zona urbana,Acima de 55 anos,Feminino,Branca,Prefiro não responder,Pós-graduação completa,1 vez por semana,Apreciador interessado,"Apreciador, com interesse pelo tema",Vinho tinto seco,Supermercados,Vinícola / Produtor,"Qualidade sensorial (sabor, aroma, equilíbrio), Clareza e transparência das informações no rótulo",Extremamente importante
189,2026-05-14 16:43:03.564,"Sim, aceito participar",Região Sudeste,Zona urbana,Entre 36 e 45 anos,Masculino,Amarela,Acima de 6 salários mínimos,Pós-graduação incompleta,1 vez por mês,Apreciador interessado,"Apreciador, com interesse pelo tema","Vinho tinto seco, Vinho branco seco","Supermercados, Lojas online especializadas, Restaurantes e bares","Preço, Região de origem, Variedade, Vinícola / Produtor","Qualidade sensorial (sabor, aroma, equilíbrio), Sustentabilidade ambiental (menor impacto no cultivo), Clareza e transparência das informações no rótulo",Extremamente importante
190,2026-05-14 16:54:56.909,"Sim, aceito participar",Região Sul,Zona urbana,Entre 26 e 35 anos,Feminino,Branca,De 1 a 2 salários mínimos,Ensino superior incompleto,1 vez por semana,Apreciador técnico,"Apreciador, com conhecimentos técnicos","Vinho tinto seco, Vinho branco seco, Vinho rosé, Vinho espumante","Supermercados, Restaurantes e bares","Preço, Região de origem, Variedade","Qualidade sensorial (sabor, aroma, equilíbrio), Sustentabilidade ambiental (menor impacto no cultivo), Clareza e transparência das informações no rótulo, Presença de certificações ou selos ambientais",Extremamente importante
191,2026-05-14 16:57:52.921,"Sim, aceito participar",Região Sul,Zona urbana,Entre 26 e 35 anos,Feminino,Branca,De 3 a 4 salários mínimos,Ensino superior completo,De 2 a 3 vezes por semana,Apreciador interessado,"Apreciador, com interesse pelo tema","Vinho tinto seco, Vinho branco seco, Vinho rosé","Supermercados, Diretamente em vinícolas","Preço, Variedade, Vinícola / Produtor, Recomendação (amigos, especialistas, avaliações), Curiosidade ou interesse por novos produtos","Qualidade sensorial (sabor, aroma, equilíbrio), Sustentabilidade ambiental (menor impacto no cultivo), Origem das uvas (região/procedência), Grau de inovação do produto",Muito importante
192,2026-05-14 17:00:47.059,"Sim, aceito participar",Região Sul,Zona urbana,Entre 18 e 25 anos,Feminino,Branca,Acima de 6 salários mínimos,Ensino superior incompleto,1 vez por semana,Consumidor ocasional,"Consumidor ocasional, sem conhecimento técnico",Vinho suave,Supermercados,"Recomendação (amigos, especialistas, avaliações)",Clareza e transparência das informações no rótulo,Muito importante
193,2026-05-14 17:24:00.777,"Sim, aceito participar",Região Sul,Zona urbana,Entre 46 e 55 anos,Masculino,Branca,Acima de 6 salários mínimos,Ensino superior completo,De 2 a 3 vezes por semana,Apreciador técnico,"Apreciador, com conhecimentos técnicos","Vinho tinto seco, Vinho branco seco","Supermercados, Lojas físicas especializadas, Restaurantes e bares","Região de origem, Variedade, Recomendação (amigos, especialistas, avaliações), Promoções ou descontos, Curiosidade ou interesse por novos produtos","Qualidade sensorial (sabor, aroma, equilíbrio), Clareza e transparência das informações no rótulo, Preço",Muito importante
194,2026-05-14 17:35:38.213,"Sim, aceito participar",Região Sudeste,Zona urbana,Entre 46 e 55 anos,Feminino,Branca,Acima de 6 salários mínimos,Ensino superior completo,De 4 a 6 vezes por semana,Profissional do setor,"Profissional da área de vinhos (ex.: sommelier, enólogo, atuação na indústria ou enoturismo)","Vinho tinto seco, Vinho branco seco, Vinho rosé, Vinho espumante","Supermercados, Lojas físicas especializadas, Restaurantes e bares","Preço, Região de origem, Variedade, Vinícola / Produtor, Descrição sensorial (aroma, sabor estilo), Práticas sustentáveis e/ou impacto ambiental, Promoções ou descontos, Curiosidade ou interesse por novos produtos","Qualidade sensorial (sabor, aroma, equilíbrio), Sustentabilidade ambiental (menor impacto no cultivo), Origem das uvas (região/procedência), Clareza e transparência das informações no rótulo, Presença de certificações ou selos ambientais",Muito importante
