respondent_id,submitted_at,consent,region,residence_zone,age_group,gender,race_color,income_group,education,consumption_frequency,consumer_profile,consumer_profile_raw,wine_types_raw,purchase_channels_raw,purchase_factors_raw,sustainable_attributes_raw,label_importance,monthly_consumption_estimate,consumption_intensity,label_importance_score,high_label_importance,consumer_knowledge_score,strategic_segment
67,2026-05-12 13:23:17.363,"Sim, aceito participar",Região Sul,Zona urbana,Entre 26 e 35 anos,Masculino,Branca,De 3 a 4 salários mínimos,Pós-graduação incompleta,1 vez por mês,Apreciador interessado,"Apreciador, com interesse pelo tema","Vinho tinto seco, Vinho rosé",Supermercados,"Preço, Região de origem, Variedade, Vinícola / Produtor, Recomendação (amigos, especialistas, avaliações), Descrição sensorial (aroma, sabor estilo), Design e informação do rótulo, Práticas sustentáveis e/ou impacto ambiental, Promoções ou descontos, Curiosidade ou interesse por novos produtos","Qualidade sensorial (sabor, aroma, equilíbrio), Sustentabilidade ambiental (menor impacto no cultivo), Presença de certificações ou selos ambientais, Preço, Grau de inovação do produto",Extremamente importante,1.0,Frequência moderada,4,1,2,Potencial sustentável
68,2026-05-12 13:23:36.319,"Sim, aceito participar",Região Sul,Zona urbana,Entre 18 e 25 anos,Feminino,Branca,Prefiro não responder,Ensino médio completo,1 vez a cada 15 dias,Consumidor ocasional,"Consumidor ocasional, sem conhecimento técnico","Vinho rosé, Vinho suave",Supermercados,"Preço, Região de origem, Recomendação (amigos, especialistas, avaliações), Promoções ou descontos","Qualidade sensorial (sabor, aroma, equilíbrio), Clareza e transparência das informações no rótulo, Presença de certificações ou selos ambientais, Preço",Extremamente importante,2.0,Frequência moderada,4,1,1,Potencial sustentável
69,2026-05-12 13:26:09.632,"Sim, aceito participar",Região Sudeste,Zona urbana,Acima de 55 anos,Masculino,Preta,Acima de 6 salários mínimos,Pós-graduação completa,1 vez por semana,Apreciador interessado,"Apreciador, com interesse pelo tema",Vinho tinto seco,Supermercados,"Preço, Variedade, Recomendação (amigos, especialistas, avaliações), Descrição sensorial (aroma, sabor estilo), Design e informação do rótulo, Promoções ou descontos","Qualidade sensorial (sabor, aroma, equilíbrio), Clareza e transparência das informações no rótulo, Preço",Muito importante,4.3,Alta frequência,3,1,2,Alta prioridade
70,2026-05-12 13:27:58.050,"Sim, aceito participar",Região Sul,Zona urbana,Entre 36 e 45 anos,Masculino,Branca,De 3 a 4 salários mínimos,Ensino superior completo,1 vez a cada 15 dias,Apreciador técnico,"Apreciador, com conhecimentos técnicos",Vinho tinto seco,"Supermercados, Lojas online especializadas","Preço, Variedade, Descrição sensorial (aroma, sabor estilo), Promoções ou descontos","Qualidade sensorial (sabor, aroma, equilíbrio), Clareza e transparência das informações no rótulo, Preço",Muito importante,2.0,Frequência moderada,3,1,3,Potencial sustentável
71,2026-05-12 13:28:23.435,"Sim, aceito participar",Região Sudeste,Zona urbana,Entre 46 e 55 anos,Masculino,Branca,De 3 a 4 salários mínimos,Pós-graduação completa,Raramente,Consumidor ocasional,"Consumidor ocasional, sem conhecimento técnico",Vinho suave,Supermercados,"Preço, Recomendação (amigos, especialistas, avaliações)","Qualidade sensorial (sabor, aroma, equilíbrio), Clareza e transparência das informações no rótulo, Presença de certificações ou selos ambientais, Preço",Muito importante,0.5,Baixa frequência,3,1,1,Potencial sustentável
72,2026-05-12 13:28:29.048,"Sim, aceito participar",Região Sul,Zona urbana,Entre 46 e 55 anos,Feminino,Branca,Acima de 6 salários mínimos,Pós-graduação completa,De 2 a 3 vezes por semana,Apreciador técnico,"Apreciador, com conhecimentos técnicos","Vinho tinto seco, Vinho branco seco, Vinho rosé, Vinho espumante, Vinho demi-sec, Vinho licoroso e/ou fortificado","Supermercados, Diretamente em vinícolas, Restaurantes e bares","Preço, Região de origem, Variedade, Vinícola / Produtor, Design e informação do rótulo, Práticas sustentáveis e/ou impacto ambiental, Promoções ou descontos, Curiosidade ou interesse por novos produtos","Sustentabilidade ambiental (menor impacto no cultivo), Clareza e transparência das informações no rótulo, Presença de certificações ou selos ambientais",Extremamente importante,10.8,Alta frequência,4,1,3,Alta prioridade
73,2026-05-12 13:37:33.703,"Sim, aceito participar",Região Sudeste,Zona urbana,Acima de 55 anos,Feminino,Parda,Acima de 6 salários mínimos,Pós-graduação completa,1 vez por semana,Apreciador técnico,"Apreciador, com conhecimentos técnicos","Vinho tinto seco, Vinho branco seco, Vinho espumante","Supermercados, Lojas físicas especializadas, Diretamente em vinícolas, Restaurantes e bares","Preço, Região de origem, Variedade, Vinícola / Produtor, Recomendação (amigos, especialistas, avaliações), Descrição sensorial (aroma, sabor estilo), Promoções ou descontos, Curiosidade ou interesse por novos produtos","Qualidade sensorial (sabor, aroma, equilíbrio), Sustentabilidade ambiental (menor impacto no cultivo), Clareza e transparência das informações no rótulo, Presença de certificações ou selos ambientais, Preço",Extremamente importante,4.3,Alta frequência,4,1,3,Alta prioridade
74,2026-05-12 13:42:36.176,"Sim, aceito participar",Região Sul,Zona urbana,Entre 26 e 35 anos,Feminino,Branca,De 3 a 4 salários mínimos,Pós-graduação completa,1 vez por semana,Apreciador interessado,"Apreciador, com interesse pelo tema","Vinho tinto seco, Vinho rosé, Vinho espumante","Supermercados, Restaurantes e bares","Preço, Variedade, Recomendação (amigos, especialistas, avaliações)","Qualidade sensorial (sabor, aroma, equilíbrio), Sustentabilidade ambiental (menor impacto no cultivo), Origem das uvas (região/procedência), Presença de certificações ou selos ambientais",Extremamente importante,4.3,Alta frequência,4,1,2,Alta prioridade
75,2026-05-12 13:46:02.353,"Sim, aceito participar",Região Sudeste,Zona urbana,Entre 26 e 35 anos,Feminino,Amarela,De 3 a 4 salários mínimos,Ensino superior completo,1 vez por semana,Apreciador técnico,"Apreciador, com conhecimentos técnicos","Vinho branco seco, Vinho rosé","Supermercados, Lojas físicas especializadas","Recomendação (amigos, especialistas, avaliações), Design e informação do rótulo, Promoções ou descontos, Curiosidade ou interesse por novos produtos","Qualidade sensorial (sabor, aroma, equilíbrio), Origem das uvas (região/procedência), Clareza e transparência das informações no rótulo, Preço",Extremamente importante,4.3,Alta frequência,4,1,3,Alta prioridade
76,2026-05-12 14:00:29.221,"Sim, aceito participar",Região Sul,Zona urbana,Entre 36 e 45 anos,Feminino,Branca,Acima de 6 salários mínimos,Pós-graduação completa,1 vez a cada 15 dias,Apreciador interessado,"Apreciador, com interesse pelo tema","Vinho tinto seco, Vinho branco seco, Vinho rosé, Vinho espumante",Lojas físicas especializadas,"Preço, Região de origem, Variedade, Vinícola / Produtor, Recomendação (amigos, especialistas, avaliações), Promoções ou descontos","Qualidade sensorial (sabor, aroma, equilíbrio), Sustentabilidade ambiental (menor impacto no cultivo), Origem das uvas (região/procedência)",Muito importante,2.0,Frequência moderada,3,1,2,Potencial sustentável
77,2026-05-12 14:04:36.774,"Sim, aceito participar",Região Sul,Zona urbana,Entre 36 e 45 anos,Feminino,Branca,De 3 a 4 salários mínimos,Ensino médio completo,1 vez por semana,Apreciador interessado,"Apreciador, com interesse pelo tema","Vinho tinto seco, Vinho rosé, Vinho espumante, Vinho demi-sec","Supermercados, Lojas físicas especializadas, Diretamente em vinícolas, Restaurantes e bares, De outros paises","Preço, Região de origem, Variedade, Vinícola / Produtor, Recomendação (amigos, especialistas, avaliações), Descrição sensorial (aroma, sabor estilo), Design e informação do rótulo, Promoções ou descontos","Qualidade sensorial (sabor, aroma, equilíbrio), Origem das uvas (região/procedência), Clareza e transparência das informações no rótulo, Preço",Extremamente importante,4.3,Alta frequência,4,1,2,Alta prioridade
78,2026-05-12 14:09:07.849,"Sim, aceito participar",Região Centro-Oeste,Zona urbana,Entre 26 e 35 anos,Feminino,Parda,De 3 a 4 salários mínimos,Pós-graduação completa,Raramente,Consumidor ocasional,"Consumidor ocasional, sem conhecimento técnico","Vinho tinto seco, Vinho branco seco, Vinho rosé, Vinho espumante, Vinho suave, Vinho demi-sec",Supermercados,"Preço, Recomendação (amigos, especialistas, avaliações), Descrição sensorial (aroma, sabor estilo), Promoções ou descontos","Clareza e transparência das informações no rótulo, Presença de certificações ou selos ambientais, Preço",Extremamente importante,0.5,Baixa frequência,4,1,1,Potencial sustentável
79,2026-05-12 14:12:24.869,"Sim, aceito participar",Região Sul,Zona urbana,Entre 18 e 25 anos,Feminino,Branca,De 1 a 2 salários mínimos,Ensino superior incompleto,1 vez a cada 15 dias,Consumidor ocasional,"Consumidor ocasional, sem conhecimento técnico","Vinho rosé, Vinho suave, Vinho demi-sec",Supermercados,"Preço, Recomendação (amigos, especialistas, avaliações), Descrição sensorial (aroma, sabor estilo), Design e informação do rótulo, Curiosidade ou interesse por novos produtos","Qualidade sensorial (sabor, aroma, equilíbrio), Sustentabilidade ambiental (menor impacto no cultivo), Origem das uvas (região/procedência), Clareza e transparência das informações no rótulo, Preço",Extremamente importante,2.0,Frequência moderada,4,1,1,Potencial sustentável
80,2026-05-12 14:20:12.622,"Sim, aceito participar",Região Sudeste,Zona urbana,Acima de 55 anos,Masculino,Branca,Acima de 6 salários mínimos,Ensino superior completo,De 4 a 6 vezes por semana,Consumidor ocasional,"Consumidor ocasional, sem conhecimento técnico","Vinho tinto seco, Vinho espumante, Vinho demi-sec","Supermercados, Lojas físicas especializadas","Preço, Variedade, Promoções ou descontos","Qualidade sensorial (sabor, aroma, equilíbrio)",Muito importante,21.5,Alta frequência,3,1,1,Alta prioridade
81,2026-05-12 14:35:48.800,"Sim, aceito participar",Região Sul,Zona urbana,Entre 26 e 35 anos,Feminino,Branca,De 1 a 2 salários mínimos,Pós-graduação incompleta,1 vez por mês,Consumidor ocasional,"Consumidor ocasional, sem conhecimento técnico","Vinho tinto seco, Vinho branco seco, Vinho rosé, Vinho espumante, Vinho suave","Lojas online especializadas, Restaurantes e bares","Preço, Recomendação (amigos, especialistas, avaliações), Descrição sensorial (aroma, sabor estilo), Design e informação do rótulo, Curiosidade ou interesse por novos produtos","Qualidade sensorial (sabor, aroma, equilíbrio), Sustentabilidade ambiental (menor impacto no cultivo), Clareza e transparência das informações no rótulo, Presença de certificações ou selos ambientais, Preço",Extremamente importante,1.0,Frequência moderada,4,1,1,Potencial sustentável
82,2026-05-12 14:35:55.586,"Sim, aceito participar",Região Sul,Zona rural,Entre 26 e 35 anos,Feminino,Branca,De 3 a 4 salários mínimos,Pós-graduação incompleta,Raramente,Consumidor ocasional,"Consumidor ocasional, sem conhecimento técnico","Vinho espumante, Vinho suave","Supermercados, Lojas físicas especializadas","Preço, Recomendação (amigos, especialistas, avaliações), Descrição sensorial (aroma, sabor estilo), Design e informação do rótulo, Curiosidade ou interesse por novos produtos","Qualidade sensorial (sabor, aroma, equilíbrio), Sustentabilidade ambiental (menor impacto no cultivo), Presença de certificações ou selos ambientais, Grau de inovação do produto",Extremamente importante,0.5,Baixa frequência,4,1,1,Potencial sustentável
83,2026-05-12 14:39:32.519,"Sim, aceito participar",Região Sul,Zona urbana,Entre 26 e 35 anos,Feminino,Branca,De 3 a 4 salários mínimos,Pós-graduação incompleta,1 vez por semana,Apreciador interessado,"Apreciador, com interesse pelo tema","Vinho tinto seco, Vinho branco seco, Vinho rosé","Supermercados, Lojas físicas especializadas","Preço, Região de origem, Variedade, Descrição sensorial (aroma, sabor estilo), Design e informação do rótulo, Promoções ou descontos, Curiosidade ou interesse por novos produtos","Qualidade sensorial (sabor, aroma, equilíbrio), Sustentabilidade ambiental (menor impacto no cultivo), Origem das uvas (região/procedência), Clareza e transparência das informações no rótulo, Presença de certificações ou selos ambientais, Preço",Extremamente importante,4.3,Alta frequência,4,1,2,Alta prioridade
84,2026-05-12 14:59:13.563,"Sim, aceito participar",Região Sul,Zona urbana,Entre 46 e 55 anos,Feminino,Branca,Acima de 6 salários mínimos,Pós-graduação completa,1 vez por semana,Profissional do setor,"Profissional da área de vinhos (ex.: sommelier, enólogo, atuação na indústria ou enoturismo)","Vinho tinto seco, Vinho branco seco, Vinho rosé, Vinho espumante, Vinho demi-sec, Vinho licoroso e/ou fortificado","Supermercados, Lojas físicas especializadas, Lojas online especializadas, Diretamente em vinícolas, Restaurantes e bares","Preço, Região de origem, Variedade, Vinícola / Produtor, Promoções ou descontos","Qualidade sensorial (sabor, aroma, equilíbrio)",Muito importante,4.3,Alta frequência,3,1,4,Alta prioridade
85,2026-05-12 15:05:52.940,"Sim, aceito participar",Região Sudeste,Zona urbana,Entre 26 e 35 anos,Masculino,Branca,De 1 a 2 salários mínimos,Ensino superior incompleto,1 vez por semana,Apreciador interessado,"Apreciador, com interesse pelo tema","Vinho tinto seco, Vinho branco seco, Vinho espumante, Vinho demi-sec","Supermercados, Lojas físicas especializadas, Lojas online especializadas, Restaurantes e bares","Preço, Recomendação (amigos, especialistas, avaliações), Promoções ou descontos, Curiosidade ou interesse por novos produtos","Qualidade sensorial (sabor, aroma, equilíbrio), Preço",Extremamente importante,4.3,Alta frequência,4,1,2,Alta prioridade
86,2026-05-12 16:16:31.510,"Sim, aceito participar",Região Sul,Zona urbana,Entre 36 e 45 anos,Feminino,Branca,De 1 a 2 salários mínimos,Ensino superior incompleto,1 vez por semana,Apreciador interessado,"Apreciador, com interesse pelo tema","Vinho tinto seco, Vinho rosé, Vinho espumante, Vinho demi-sec","Supermercados, Diretamente em vinícolas","Preço, Região de origem, Variedade, Vinícola / Produtor, Descrição sensorial (aroma, sabor estilo), Promoções ou descontos","Qualidade sensorial (sabor, aroma, equilíbrio), Sustentabilidade ambiental (menor impacto no cultivo), Origem das uvas (região/procedência), Clareza e transparência das informações no rótulo, Presença de certificações ou selos ambientais, Preço, Grau de inovação do produto",Extremamente importante,4.3,Alta frequência,4,1,2,Alta prioridade
87,2026-05-12 16:30:21.631,"Sim, aceito participar",Região Sul,Zona urbana,Entre 46 e 55 anos,Feminino,Branca,Acima de 6 salários mínimos,Pós-graduação completa,1 vez por semana,Apreciador interessado,"Apreciador, com interesse pelo tema","Vinho tinto seco, Vinho rosé, Vinho espumante","Supermercados, Lojas físicas especializadas, Lojas online especializadas, Diretamente em vinícolas, Restaurantes e bares","Preço, Variedade, Vinícola / Produtor, Curiosidade ou interesse por novos produtos","Qualidade sensorial (sabor, aroma, equilíbrio), Clareza e transparência das informações no rótulo, Preço",Muito importante,4.3,Alta frequência,3,1,2,Alta prioridade
88,2026-05-12 16:31:07.902,"Sim, aceito participar",Região Sul,Zona urbana,Entre 18 e 25 anos,Masculino,Branca,De 3 a 4 salários mínimos,Ensino superior incompleto,Raramente,Consumidor ocasional,"Consumidor ocasional, sem conhecimento técnico",Vinho suave,Supermercados,"Preço, Descrição sensorial (aroma, sabor estilo)","Qualidade sensorial (sabor, aroma, equilíbrio), Sustentabilidade ambiental (menor impacto no cultivo)",Extremamente importante,0.5,Baixa frequência,4,1,1,Potencial sustentável
89,2026-05-12 16:43:09.977,"Sim, aceito participar",Região Sudeste,Zona urbana,Entre 26 e 35 anos,Feminino,Preta,De 1 a 2 salários mínimos,Pós-graduação incompleta,1 vez a cada 15 dias,Apreciador técnico,"Apreciador, com conhecimentos técnicos","Vinho tinto seco, Vinho branco seco, Vinho rosé, Vinho suave",Supermercados,"Preço, Recomendação (amigos, especialistas, avaliações), Descrição sensorial (aroma, sabor estilo), Design e informação do rótulo, Curiosidade ou interesse por novos produtos","Qualidade sensorial (sabor, aroma, equilíbrio), Sustentabilidade ambiental (menor impacto no cultivo), Clareza e transparência das informações no rótulo, Presença de certificações ou selos ambientais, Preço",Moderadamente importante,2.0,Frequência moderada,2,0,3,Baixa prioridade
90,2026-05-12 17:09:05.511,"Sim, aceito participar",Região Sul,Zona urbana,Entre 18 e 25 anos,Feminino,Parda,De 1 a 2 salários mínimos,Ensino superior incompleto,1 vez a cada 15 dias,Consumidor ocasional,"Consumidor ocasional, sem conhecimento técnico","Vinho rosé, Vinho suave",Supermercados,"Preço, Descrição sensorial (aroma, sabor estilo)","Qualidade sensorial (sabor, aroma, equilíbrio), Preço",Extremamente importante,2.0,Frequência moderada,4,1,1,Potencial sustentável
91,2026-05-12 17:09:34.614,"Sim, aceito participar",Região Sudeste,Zona urbana,Entre 46 e 55 anos,Feminino,Branca,Acima de 6 salários mínimos,Pós-graduação completa,1 vez a cada 15 dias,Apreciador interessado,"Apreciador, com interesse pelo tema",Vinho tinto seco,"Lojas físicas especializadas, Lojas online especializadas, Diretamente em vinícolas","Preço, Região de origem, Variedade, Vinícola / Produtor, Práticas sustentáveis e/ou impacto ambiental","Qualidade sensorial (sabor, aroma, equilíbrio), Sustentabilidade ambiental (menor impacto no cultivo), Origem das uvas (região/procedência), Clareza e transparência das informações no rótulo, Presença de certificações ou selos ambientais",Extremamente importante,2.0,Frequência moderada,4,1,2,Potencial sustentável
92,2026-05-12 17:12:59.718,"Sim, aceito participar",Região Sul,Zona urbana,Entre 26 e 35 anos,Feminino,Branca,De 1 a 2 salários mínimos,Pós-graduação incompleta,1 vez por mês,Consumidor ocasional,"Consumidor ocasional, sem conhecimento técnico","Vinho tinto seco, Vinho branco seco, Vinho rosé, Vinho espumante, Vinho suave, Vinho demi-sec",Supermercados,"Preço, Região de origem, Variedade, Recomendação (amigos, especialistas, avaliações), Design e informação do rótulo, Promoções ou descontos","Qualidade sensorial (sabor, aroma, equilíbrio), Sustentabilidade ambiental (menor impacto no cultivo), Preço, Grau de inovação do produto",Muito importante,1.0,Frequência moderada,3,1,1,Potencial sustentável
93,2026-05-12 17:27:51.695,"Sim, aceito participar",Região Sul,Zona urbana,Entre 26 e 35 anos,Masculino,Branca,Acima de 6 salários mínimos,Pós-graduação completa,1 vez a cada 15 dias,Apreciador interessado,"Apreciador, com interesse pelo tema",Vinho tinto seco,"Supermercados, Lojas online especializadas, Restaurantes e bares","Região de origem, Variedade, Recomendação (amigos, especialistas, avaliações), Design e informação do rótulo","Qualidade sensorial (sabor, aroma, equilíbrio), Clareza e transparência das informações no rótulo",Moderadamente importante,2.0,Frequência moderada,2,0,2,Baixa prioridade
94,2026-05-12 17:28:35.242,"Sim, aceito participar",Região Sul,Zona urbana,Entre 46 e 55 anos,Masculino,Branca,De 1 a 2 salários mínimos,Ensino superior incompleto,1 vez por semana,Apreciador interessado,"Apreciador, com interesse pelo tema","Vinho tinto seco, Vinho branco seco, Vinho rosé, Vinho espumante","Supermercados, Lojas online especializadas","Preço, Variedade, Vinícola / Produtor, Recomendação (amigos, especialistas, avaliações), Curiosidade ou interesse por novos produtos","Qualidade sensorial (sabor, aroma, equilíbrio), Sustentabilidade ambiental (menor impacto no cultivo)",Muito importante,4.3,Alta frequência,3,1,2,Alta prioridade
95,2026-05-12 17:29:49.694,"Sim, aceito participar",Região Sul,Zona rural,Entre 26 e 35 anos,Masculino,Branca,De 5 a 6 salários mínimos,Pós-graduação completa,1 vez por mês,Consumidor ocasional,"Consumidor ocasional, sem conhecimento técnico","Vinho branco seco, Vinho suave",Supermercados,"Preço, Design e informação do rótulo","Clareza e transparência das informações no rótulo, Presença de certificações ou selos ambientais, Preço",Extremamente importante,1.0,Frequência moderada,4,1,1,Potencial sustentável
96,2026-05-12 17:56:53.919,"Sim, aceito participar",Região Sul,Zona urbana,Entre 26 e 35 anos,Masculino,Parda,De 3 a 4 salários mínimos,Pós-graduação incompleta,Raramente,Apreciador técnico,"Apreciador, com conhecimentos técnicos",Vinho tinto seco,Supermercados,"Preço, Variedade, Vinícola / Produtor, Promoções ou descontos, Curiosidade ou interesse por novos produtos","Qualidade sensorial (sabor, aroma, equilíbrio), Sustentabilidade ambiental (menor impacto no cultivo), Origem das uvas (região/procedência), Clareza e transparência das informações no rótulo, Presença de certificações ou selos ambientais, Preço, Grau de inovação do produto",Moderadamente importante,0.5,Baixa frequência,2,0,3,Baixa prioridade
97,2026-05-12 18:16:33.998,"Sim, aceito participar",Região Centro-Oeste,Zona urbana,Entre 18 e 25 anos,Masculino,Branca,Prefiro não responder,Pós-graduação completa,Raramente,Consumidor ocasional,"Consumidor ocasional, sem conhecimento técnico",Não tenho preferência definida,Supermercados,"Preço, Recomendação (amigos, especialistas, avaliações), Promoções ou descontos",Preço,Pouco importante,0.5,Baixa frequência,1,0,1,Baixa prioridade
98,2026-05-12 18:20:19.801,"Sim, aceito participar",Região Norte,Zona urbana,Entre 36 e 45 anos,Masculino,Parda,Prefiro não responder,Pós-graduação completa,De 2 a 3 vezes por semana,Apreciador técnico,"Apreciador, com conhecimentos técnicos","Vinho tinto seco, Vinho branco seco, Vinho rosé, Vinho espumante, Vinho suave, Vinho demi-sec, Vinho licoroso e/ou fortificado","Supermercados, Lojas físicas especializadas, Lojas online especializadas, Diretamente em vinícolas, Restaurantes e bares","Região de origem, Variedade, Vinícola / Produtor, Recomendação (amigos, especialistas, avaliações), Descrição sensorial (aroma, sabor estilo), Práticas sustentáveis e/ou impacto ambiental, Curiosidade ou interesse por novos produtos","Qualidade sensorial (sabor, aroma, equilíbrio), Sustentabilidade ambiental (menor impacto no cultivo), Origem das uvas (região/procedência), Clareza e transparência das informações no rótulo, Presença de certificações ou selos ambientais, Grau de inovação do produto",Extremamente importante,10.8,Alta frequência,4,1,3,Alta prioridade
99,2026-05-12 18:27:30.243,"Sim, aceito participar",Região Sul,Zona urbana,Entre 18 e 25 anos,Feminino,Branca,De 1 a 2 salários mínimos,Ensino superior completo,Raramente,Apreciador interessado,"Apreciador, com interesse pelo tema",Vinho branco seco,"Supermercados, Diretamente em vinícolas","Preço, Região de origem, Variedade, Vinícola / Produtor, Recomendação (amigos, especialistas, avaliações), Descrição sensorial (aroma, sabor estilo)","Qualidade sensorial (sabor, aroma, equilíbrio), Clareza e transparência das informações no rótulo, Presença de certificações ou selos ambientais",Extremamente importante,0.5,Baixa frequência,4,1,2,Potencial sustentável
100,2026-05-12 19:08:30.013,"Sim, aceito participar",Região Sul,Zona urbana,Entre 46 e 55 anos,Masculino,Branca,Acima de 6 salários mínimos,Pós-graduação completa,De 2 a 3 vezes por semana,Apreciador interessado,"Apreciador, com interesse pelo tema","Vinho tinto seco, Vinho demi-sec","Supermercados, Lojas físicas especializadas","Preço, Variedade, Vinícola / Produtor, Recomendação (amigos, especialistas, avaliações), Promoções ou descontos, Curiosidade ou interesse por novos produtos","Qualidade sensorial (sabor, aroma, equilíbrio), Preço",Moderadamente importante,10.8,Alta frequência,2,0,2,Consumidor frequente tradicional
101,2026-05-12 19:08:36.936,"Sim, aceito participar",Região Sul,Zona urbana,Entre 46 e 55 anos,Feminino,Branca,Acima de 6 salários mínimos,Pós-graduação completa,De 2 a 3 vezes por semana,Apreciador interessado,"Apreciador, com interesse pelo tema","Vinho tinto seco, Vinho rosé, Vinho espumante, Vinho suave, Vinho demi-sec","Supermercados, Lojas físicas especializadas","Preço, Região de origem, Recomendação (amigos, especialistas, avaliações), Promoções ou descontos","Sustentabilidade ambiental (menor impacto no cultivo), Origem das uvas (região/procedência), Preço",Muito importante,10.8,Alta frequência,3,1,2,Alta prioridade
102,2026-05-12 19:12:08.206,"Sim, aceito participar",Região Sul,Zona urbana,Entre 26 e 35 anos,Masculino,Branca,De 3 a 4 salários mínimos,Pós-graduação completa,1 vez a cada 15 dias,Consumidor ocasional,"Consumidor ocasional, sem conhecimento técnico","Vinho tinto seco, Vinho branco seco, Vinho espumante, Vinho suave",Supermercados,"Preço, Recomendação (amigos, especialistas, avaliações), Design e informação do rótulo","Qualidade sensorial (sabor, aroma, equilíbrio), Preço",Muito importante,2.0,Frequência moderada,3,1,1,Potencial sustentável
103,2026-05-12 19:18:47.408,"Sim, aceito participar",Região Sudeste,Zona urbana,Entre 36 e 45 anos,Feminino,Branca,Acima de 6 salários mínimos,Ensino superior completo,1 vez por semana,Apreciador interessado,"Apreciador, com interesse pelo tema",Vinho tinto seco,Lojas online especializadas,"Preço, Recomendação (amigos, especialistas, avaliações), Promoções ou descontos","Qualidade sensorial (sabor, aroma, equilíbrio)",Muito importante,4.3,Alta frequência,3,1,2,Alta prioridade
104,2026-05-12 19:23:25.438,"Sim, aceito participar",Região Sudeste,Zona urbana,Entre 36 e 45 anos,Feminino,Branca,Acima de 6 salários mínimos,Pós-graduação completa,1 vez a cada 15 dias,Apreciador interessado,"Apreciador, com interesse pelo tema","Vinho tinto seco, Vinho branco seco","Supermercados, Lojas online especializadas","Preço, Região de origem, Variedade, Recomendação (amigos, especialistas, avaliações), Design e informação do rótulo, Práticas sustentáveis e/ou impacto ambiental, Promoções ou descontos","Qualidade sensorial (sabor, aroma, equilíbrio), Sustentabilidade ambiental (menor impacto no cultivo), Presença de certificações ou selos ambientais",Extremamente importante,2.0,Frequência moderada,4,1,2,Potencial sustentável
105,2026-05-12 19:30:26.323,"Sim, aceito participar",Região Sul,Zona urbana,Entre 46 e 55 anos,Masculino,Branca,Acima de 6 salários mínimos,Ensino superior completo,1 vez por semana,Apreciador técnico,"Apreciador, com conhecimentos técnicos",Vinho tinto seco,Casa,"Região de origem, Variedade, Recomendação (amigos, especialistas, avaliações), Descrição sensorial (aroma, sabor estilo)","Qualidade sensorial (sabor, aroma, equilíbrio)",Extremamente importante,4.3,Alta frequência,4,1,3,Alta prioridade
106,2026-05-12 19:34:37.894,"Sim, aceito participar",Região Sul,Zona urbana,Entre 26 e 35 anos,Masculino,Branca,Acima de 6 salários mínimos,Pós-graduação completa,1 vez por semana,Apreciador interessado,"Apreciador, com interesse pelo tema","Vinho tinto seco, Vinho branco seco, Vinho espumante","Supermercados, Lojas físicas especializadas, Lojas online especializadas, Diretamente em vinícolas, Restaurantes e bares","Preço, Região de origem, Variedade, Vinícola / Produtor, Recomendação (amigos, especialistas, avaliações), Descrição sensorial (aroma, sabor estilo), Design e informação do rótulo, Promoções ou descontos, Curiosidade ou interesse por novos produtos","Qualidade sensorial (sabor, aroma, equilíbrio), Preço",Moderadamente importante,4.3,Alta frequência,2,0,2,Consumidor frequente tradicional
107,2026-05-12 21:00:58.851,"Sim, aceito participar",Região Sul,Zona urbana,Acima de 55 anos,Feminino,Branca,Acima de 6 salários mínimos,Pós-graduação completa,1 vez por semana,Apreciador interessado,"Apreciador, com interesse pelo tema","Vinho tinto seco, Vinho branco seco, Vinho espumante",Supermercados,"Preço, Região de origem, Variedade, Recomendação (amigos, especialistas, avaliações), Práticas sustentáveis e/ou impacto ambiental","Sustentabilidade ambiental (menor impacto no cultivo), Origem das uvas (região/procedência), Presença de certificações ou selos ambientais",Muito importante,4.3,Alta frequência,3,1,2,Alta prioridade
108,2026-05-12 21:02:59.678,"Sim, aceito participar",Região Sudeste,Zona urbana,Entre 36 e 45 anos,Feminino,Branca,De 3 a 4 salários mínimos,Pós-graduação completa,1 vez por mês,Apreciador interessado,"Apreciador, com interesse pelo tema","Vinho tinto seco, Vinho branco seco, Vinho rosé, Vinho espumante","Supermercados, Lojas online especializadas","Preço, Região de origem, Variedade, Recomendação (amigos, especialistas, avaliações), Promoções ou descontos","Qualidade sensorial (sabor, aroma, equilíbrio), Preço",Muito importante,1.0,Frequência moderada,3,1,2,Potencial sustentável
109,2026-05-12 21:34:22.261,"Sim, aceito participar",Região Sul,Zona urbana,Acima de 55 anos,Feminino,Branca,De 5 a 6 salários mínimos,Pós-graduação completa,De 2 a 3 vezes por semana,Apreciador interessado,"Apreciador, com interesse pelo tema","Vinho tinto seco, Vinho branco seco, Vinho rosé, Vinho espumante","Supermercados, Diretamente em vinícolas","Preço, Região de origem, Variedade, Descrição sensorial (aroma, sabor estilo), Promoções ou descontos","Qualidade sensorial (sabor, aroma, equilíbrio), Sustentabilidade ambiental (menor impacto no cultivo), Clareza e transparência das informações no rótulo, Presença de certificações ou selos ambientais, Preço",Extremamente importante,10.8,Alta frequência,4,1,2,Alta prioridade
