purchase_factor,respondents,selection_pct
Preço,203,77.8
Variedade,157,60.2
"Recomendação (amigos, especialistas, avaliações)",153,58.6
Região de origem,141,54.0
Promoções ou descontos,119,45.6
Curiosidade ou interesse por novos produtos,115,44.1
Vinícola / Produtor,103,39.5
"Descrição sensorial (aroma, sabor estilo)",91,34.9
Design e informação do rótulo,63,24.1
Práticas sustentáveis e/ou impacto ambiental,31,11.9
