sustainable_attribute,respondents,selection_pct
"Qualidade sensorial (sabor, aroma, equilíbrio)",225,86.2
Preço,145,55.6
Clareza e transparência das informações no rótulo,143,54.8
Sustentabilidade ambiental (menor impacto no cultivo),128,49.0
Presença de certificações ou selos ambientais,110,42.1
Origem das uvas (região/procedência),105,40.2
Grau de inovação do produto,42,16.1
