strategic_segment,respondents,respondents_pct,average_monthly_consumption,average_label_importance
Potencial sustentável,109,41.8,1.1,3.5
Alta prioridade,106,40.6,10.2,3.47
Consumidor frequente tradicional,23,8.8,10.8,1.87
Baixa prioridade,23,8.8,1.1,1.7
