purchase_channel,respondents,selection_pct
Supermercados,223,85.4
Lojas físicas especializadas,107,41.0
Lojas online especializadas,87,33.3
Diretamente em vinícolas,75,28.7
Restaurantes e bares,67,25.7
Aplicativos de delivery de bebidas,1,0.4
