consumer_profile,respondents,average_importance,high_importance_pct
Não consumidor,1,4.0,100.0
Consumidor ocasional,84,3.25,86.9
Apreciador interessado,102,3.19,81.4
Apreciador técnico,42,3.12,81.0
Profissional do setor,32,3.06,75.0
